X,Y,YEAR,MO,DAY,VEI,VOL_ID,FATALITIES,ASSOC_EQ,ASSOC_TSU,DAMAGE_MILLIONS_DOLLARS,DAMAGE_AMOUNT_ORDER,DAMAGE_DESCRIPTION,DEATHS,DEATHS_AMOUNT_ORDER,DEATHS_DESCRIPTION,INJURIES,INJURIES_AMOUNT_ORDER,INJURIES_DESCRIPTION,MISSING,MISSING_AMOUNT_ORDER,MISSING_DESCRIPTION,HOUSES_DESTROYED,HOUSES_AMOUNT_ORDER,HOUSES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS_TOTAL,DAMAGE_AMOUNT_ORDER_TOTAL,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL,DEATHS_AMOUNT_ORDER_TOTAL,DEATHS_TOTAL_DESCRIPTION,INJURIES_TOTAL,INJURIES_AMOUNT_ORDER_TOTAL,INJURIES_TOTAL_DESCRIPTION,MISSING_TOTAL,MISSING_AMOUNT_ORDER_TOTAL,MISSING_TOTAL_DESCRIPTION,HOUSES_DESTROYED_TOTAL,HOUSES_AMOUNT_ORDER_TOTAL,HOUSES_TOTAL_DESCRIPTION,SIGNIF,VALIDITY,NUM,NAME,LOCATION,LATITUDE,LONGITUDE,ELEVATION,MORPHOLOGY,STATUS,TIME_ERUPT,ID,COUNTRY,NUM_SLIDES,SIG_ID,TSU_ID,HAZ_EVENT_ID,OBJECTID
-17287026.36,2205037.247,2014,11,10,,130201,,,,14.5,3,Severe (~>$5 to $24 million),,,,,,,,,,1,1,Few (~1 to 50 houses),14.5,3,Severe (~>$5 to $24 million),,,,,,,,,,1,1,Few (~1 to 50 houses),1,4,1302-01-,Kilauea,Hawaiian Is,19.425,-155.292,1222,Shield volcano,Historical,D1,130201,United States,0,,,6104,441
12570196.9,-905606.0236,1981,5,14,3,60330,372,,,,,,372,3,Many (~101 to 1000 people),152,3,Many (~101 to 1000 people),120,3,Many (~101 to 1000 people),,,,,,,372,3,Many (~101 to 1000 people),152,3,Many (~101 to 1000 people),120,3,Many (~101 to 1000 people),,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6366,1459
12570196.9,-905606.0236,2002,,,3,60330,3,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6372,1459
12570196.9,-905606.0236,2000,7,27,3,60330,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6371,1459
12570196.9,-905606.0236,1997,9,2,3,60330,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6370,1459
12570196.9,-905606.0236,1994,2,3,3,60330,6,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6369,1459
12570196.9,-905606.0236,1992,,,3,60330,3,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6368,1459
12570196.9,-905606.0236,1988,7,30,3,60330,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-30=,Semeru,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1,60330,Indonesia,0,,,6367,1459
10952947.34,353062.9569,2014,2,1,,60108,17,,,,1,Limited (<$1 million),17,1,Few (~1 to 50 people),3,1,Few (~1 to 50 people),,,,,2,Some (~51 to 100 houses),,1,Limited (<$1 million),17,1,Few (~1 to 50 people),3,1,Few (~1 to 50 people),,,,,2,Some (~51 to 100 houses),1,4,0601-08=,Sinabung,Sumatra,3.17,98.392,2460,Stratovolcano,Holocene,U,60108,Indonesia,0,,,6004,1488
10952947.34,353062.9569,2015,2,20,,60108,,,,,1,Limited (<$1 million),,,,,,,,,,,1,Few (~1 to 50 houses),,1,Limited (<$1 million),,,,,,,,,,,1,Few (~1 to 50 houses),1,4,0601-08=,Sinabung,Sumatra,3.17,98.392,2460,Stratovolcano,Holocene,U,60108,Indonesia,0,,,6164,1488
10952947.34,353062.9569,2015,10,16,,60108,1,,,,1,Limited (<$1 million),1,1,Few (~1 to 50 people),,,,,,,,,,,1,Limited (<$1 million),1,1,Few (~1 to 50 people),,,,,,,,,,1,4,0601-08=,Sinabung,Sumatra,3.17,98.392,2460,Stratovolcano,Holocene,U,60108,Indonesia,0,,,6204,1488
13878534.88,1028907.074,1951,12,4,3,70108,500,,,,,,500,3,Many (~101 to 1000 people),,,,1500,4,Very Many (~1001 or more people),,,,,,,500,3,Many (~101 to 1000 people),,,,1500,4,Very Many (~1001 or more people),,,,1,,0701-08=,Camiguin,Mindanao-Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2,70108,Philippines,0,,,6426,209
13878534.88,1028907.074,1949,6,,3,70108,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0701-08=,Camiguin,Mindanao-Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2,70108,Philippines,0,,,6425,209
4929227.052,4822442.387,1840,7,2,3,10304,1900,,,,,,1900,4,Very Many (~1001 or more people),,,,,,,,,,,,,1900,4,Very Many (~1001 or more people),,,,,,,,,,1,,0103-04-,Ararat,Turkey,39.7,44.28,5165,Stratovolcano,Holocene,U,10304,Turkey,0,,,6265,904
14593985.24,3879386.781,1997,11,23,,80211,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6467,917
